id,airport_name,city_name,country,iata_code,icao_code,latitude,longitude,type,scheduled_service,source
15300,Waldron Airstrip,Eastsound,United States,WDN,,48.71141,-123.018208,small_airport,yes,OurAirports
15514,Whale Pass Seaplane Float Harbor Facility,Whale Pass,United States,WWP,,56.116299,-133.121994,seaplane_base,yes,OurAirports
15640,Chuathbaluk Airport,Chuathbaluk,United States,CHU,,61.579102,-159.216003,small_airport,yes,OurAirports
15641,Ugashik Airport,Ugashik,United States,UGS,,57.523476,-157.396344,small_airport,no,OurAirports
15663,Recreation and Conference Center Heliport,City of Industry,United States,JID,,34.020472,-117.927396,heliport,no,OurAirports
15836,Philadelphia Seaplane Base,Essington,United States,PSQ,,39.859001159668,-75.299598693848,seaplane_base,no,OurAirports
16069,Levelock Airport,Levelock,United States,KLL,,59.12606,-156.860906,small_airport,no,OurAirports
16074,Saginaw Seaplane Base,Saginaw Bay,United States,SGW,,56.886299,-134.158005,seaplane_base,no,OurAirports
16082,Tuntutuliak Airport,Tuntutuliak,United States,WTL,,60.351243,-162.654476,small_airport,yes,OurAirports
16083,Twin Hills Airport,Twin Hills,United States,TWA,,59.074713,-160.274992,small_airport,yes,OurAirports
16089,Chignik Lake Airport,Chignik Lake,United States,KCQ,,56.255001,-158.774994,small_airport,yes,OurAirports
324756,Adado Airport,Adado,Somalia,AAD,HCAD,6.095802,46.6375,small_airport,no,OurAirports
301645,Atkamba Airport,Atkamba Mission,Papua New Guinea,ABP,,-6.06462,141.095173,small_airport,no,OurAirports
41025,Arica Airport,Arica,Colombia,ACM,,-2.143713,-71.75935,small_airport,no,OurAirports
41841,Andorra la Vella Heliport,Escaldes-Engordany,Andorra,ALV,,42.511227,1.53365,heliport,no,OurAirports
309426,El Daein Airport,El Daein,Sudan,ADV,,11.4023,26.1186,small_airport,no,OurAirports
604702,Dubai Seaplane Terminal,,United Arab Emirates,DST,,25.263,55.272,seaplane_base,no,OurAirports
300307,Adareil Airport,Adar,South Sudan,AEE,,10.053611,32.959444,small_airport,no,OurAirports
330359,Ar Horqin Airport,Chifeng,China,AEQ,,43.908407,120.15099,small_airport,no,OurAirports
309041,Kondavattavana Tank Seaplane Base,Ampara,Sri Lanka,AFK,,7.284,81.644,seaplane_base,no,OurAirports
336537,Burton-Nibbs International Airport,Codrington,Antigua and Barbuda,BBQ,TAPB,17.621194,-61.798347,medium_airport,yes,OurAirports
301649,Afutara Aerodrome,Bila,Solomon Islands,AFT,AGAF,-9.191389,160.948611,small_airport,no,OurAirports
302290,Ulawa Airport,Arona,Solomon Islands,RNA,AGAR,-9.86054358262,161.979546547,small_airport,no,OurAirports
35172,Uru Harbour Airport,Atoifi,Solomon Islands,ATD,AGAT,-8.87333,161.011002,small_airport,no,OurAirports
32570,Barakoma Airport,Barakoma,Solomon Islands,VEV,AGBA,-7.912779808044434,156.70599365234375,small_airport,no,OurAirports
302402,Batuna Aerodrome,Batuna Mission Station,Solomon Islands,BPF,AGBT,-8.56202777778,158.119305556,small_airport,no,OurAirports
31524,Geva Airport,Liangia,Solomon Islands,GEF,AGEV,-7.575829982757568,156.5970001220703,small_airport,no,OurAirports
301650,Angoram Airport,Angoram,Papua New Guinea,AGG,,-4.057077,144.073841,small_airport,no,OurAirports
30634,Gwaunaru'u Airport,Auki,Solomon Islands,AKS,AGGA,-8.70257,160.682007,small_airport,yes,OurAirports
302047,Bellona/Anua Airport,Anua,Solomon Islands,BNY,AGGB,-11.302222222200001,159.798333333,small_airport,yes,OurAirports
302291,Choiseul Bay Airport,Choiseul Bay,Solomon Islands,CHY,AGGC,-6.711944,156.396111,small_airport,yes,OurAirports
30678,Ballalae Airport,Ballalae,Solomon Islands,BAS,AGGE,-6.990745,155.886656,small_airport,yes,OurAirports
35167,Fera/Maringe Airport,Fera Island,Solomon Islands,FRE,AGGF,-8.1075,159.576996,small_airport,yes,OurAirports
3,Honiara International Airport,Honiara,Solomon Islands,HIR,AGGH,-9.428,160.054993,large_airport,yes,OurAirports
31885,Babanakira Airport,Mbambanakira,Solomon Islands,MBU,AGGI,-9.7475,159.839005,small_airport,no,OurAirports
301837,Avu Avu Airport,Avu Avu,Solomon Islands,AVU,AGGJ,-9.868333,160.410556,small_airport,no,OurAirports
31686,Ngorangora Airport,Kirakira,Solomon Islands,IRA,AGGK,-10.449700355500001,161.897994995,small_airport,yes,OurAirports
32275,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,Solomon Islands,SCZ,AGGL,-10.7203,165.794998,small_airport,yes,OurAirports
4,Munda Airport,Munda,Solomon Islands,MUA,AGGM,-8.32797,157.263,medium_airport,yes,OurAirports
31563,Nusatupe Airport,Gizo,Solomon Islands,GZO,AGGN,-8.09778022766,156.863998413,small_airport,yes,OurAirports
31932,Mono Airport,Stirling Island,Solomon Islands,MNY,AGGO,-7.41694,155.565002,small_airport,yes,OurAirports
32174,Parasi Airport,Parasi,Solomon Islands,PRS,AGGP,-9.641670227050781,161.4250030517578,small_airport,no,OurAirports
35171,Rennell/Tingoa Airport,Rennell Island,Solomon Islands,RNL,AGGR,-11.55,160.062778,small_airport,yes,OurAirports
30989,Sege Airport,Sege,Solomon Islands,EGM,AGGS,-8.57889,157.876007,small_airport,no,OurAirports
308425,Santa Ana Airport,Santa Ana Island,Solomon Islands,NNB,AGGT,-10.847994,162.454108,small_airport,yes,OurAirports
32238,Marau Airport,Marau,Solomon Islands,RUS,AGGU,-9.86167,160.824997,small_airport,yes,OurAirports
32564,Suavanao Airport,Suavanao,Solomon Islands,VAO,AGGV,-7.58556,158.731003,small_airport,yes,OurAirports
302292,Yandina Airport,Yandina,Solomon Islands,XYA,AGGY,-9.092816,159.21841,small_airport,yes,OurAirports
301651,Kagua Airport,Kagua,Papua New Guinea,AGK,,-6.396388888890001,143.853611111,small_airport,no,OurAirports
35169,Kaghau Airport,Kagau Island,Solomon Islands,KGE,AGKG,-7.3305,157.585,small_airport,yes,OurAirports
310179,Kukudu Airport,Kolombangara Island,Solomon Islands,KUE,AGKU,-8.0262,156.94783,small_airport,no,OurAirports
308424,Kwailabesi Airport,Kwailabesi,Solomon Islands,KWS,AGKW,-8.360508,160.775127,small_airport,no,OurAirports
524977,Lomlom Airport,Lomlom,Solomon Islands,LLM,AGLM,-10.296828,166.327322,small_airport,no,OurAirports
310002,Nana Airport,Star Harbor,Solomon Islands,NAZ,AGNA,-10.6758,162.2049,small_airport,no,OurAirports
508090,Manaoba Airport,Manaoba,Solomon Islands,MHM,AGOB,-8.325008,160.80051,small_airport,yes,OurAirports
35168,Gatokae Aerodrome,Gatokae,Solomon Islands,GTA,AGOK,-8.738358,158.202836,small_airport,yes,OurAirports
32211,Ringi Cove Airport,Ringi Cove,Solomon Islands,RIN,AGRC,-8.12639045715332,157.14300537109375,small_airport,no,OurAirports
35170,Ramata Airport,Ramata,Solomon Islands,RBV,AGRM,-8.168060302734375,157.64300537109375,small_airport,yes,OurAirports
306999,Tulaghi Heliport,Tulaghi Island,Solomon Islands,TLG,AGTI,-9.108,160.149166667,heliport,no,OurAirports
299324,Ambatolhy Airport,Ambatolahy,Madagascar,AHY,,-20.015833333299998,45.535,small_airport,no,OurAirports
299328,Ailinglaplap Airok Airport,Bigatyelang Island,Marshall Islands,AIC,,7.279422,168.8257,small_airport,no,OurAirports
16108,Chena Hot Springs Airport,Chena Hot Springs,United States,CEX,,65.0518035889,-146.04699707,small_airport,no,OurAirports
16120,Solomon State Field,Solomon,United States,SOL,,64.5605,-164.4457,small_airport,no,OurAirports
16125,Herendeen Bay Airport,Herendeen Bay,United States,HED,,55.802346,-160.901346,small_airport,no,OurAirports
16141,Taylor Airport,Taylor,United States,TWE,,65.6792984009,-164.798995972,small_airport,no,OurAirports
16149,Tikchik Lodge Seaplane Base,Tikchik,United States,KTH,,59.9631996155,-158.477005005,seaplane_base,no,OurAirports
16155,Naukati Bay Seaplane Base,Tuxekan Island,United States,NKI,,55.849602,-133.227994,seaplane_base,yes,OurAirports
16169,Candle 2 Airport,Candle,United States,CDL,,65.907699585,-161.925994873,small_airport,no,OurAirports
16174,Amook Bay Seaplane Base,Amook Bay,United States,AOS,,57.4715003967,-153.815002441,seaplane_base,yes,OurAirports
16188,Boswell Bay Airport,Boswell Bay,United States,BSW,,60.4230995178,-146.145996094,small_airport,no,OurAirports
301754,Zakuoma Airport,ZaKouma,Chad,AKM,,10.8902777778,19.8172222222,small_airport,no,OurAirports
16289,Alitak Seaplane Base,Lazy Bay,United States,ALZ,,56.897294,-154.249692,seaplane_base,yes,OurAirports
44682,Syunik Airport,Kapan,Armenia,YUK,UDCK,39.202272,46.455204,small_airport,no,OurAirports
301755,Alto Molocue Airport,Alto Molocue,Mozambique,AME,,-15.6102777778,37.6813888889,small_airport,no,OurAirports
301758,Ambatomainty Airport,,Madagascar,AMY,FMMB,-17.686667,45.623889,small_airport,no,OurAirports
8,Nauru International Airport,Yaren,Nauru,INU,ANYN,-0.547893,166.919525,medium_airport,yes,OurAirports
312361,Angus Downs Airport,Angus Downs Station,Australia,ANZ,,-25.0325,132.2748,small_airport,no,OurAirports
35325,Catoca Airport,Saurimo,Angola,CTV,,-9.431359,20.311557,small_airport,no,OurAirports
43971,Andulo Airport,Andulo,Angola,ANL,,-11.4723,16.710899,small_airport,no,OurAirports
30840,Cangamba Airport,Cangamba,Angola,CNZ,,-13.7106,19.861099,small_airport,no,OurAirports
43323,Dirico Airport,Dirico,Angola,DRC,,-17.981924,20.768061,small_airport,no,OurAirports
43326,N'dalatando Airport,N'dalatando,Angola,NDF,,-9.280378,14.982432,small_airport,no,OurAirports
301705,Annanberg Airport,,Papua New Guinea,AOB,,-4.90416666667,144.635833333,small_airport,no,OurAirports
312362,Abou-Deïa Airport,Abou-Deïa,Chad,AOD,,11.4773,19.2874,small_airport,no,OurAirports
301727,Asapa Airport,,Papua New Guinea,APP,,-8.979167,148.103611,small_airport,no,OurAirports
16294,Girdwood-Alyeska Airport,Girdwood,United States,AQY,,60.968774,-149.119792,small_airport,no,OurAirports
35399,Bragado Airport,Bragado,Argentina,QRF,,-35.145811,-60.480294,small_airport,no,OurAirports
35401,Caleta Olivia Airport,Caleta Olivia,Argentina,CVI,,-46.37428,-67.59409,small_airport,no,OurAirports
35403,Charata Airport,Charata,Argentina,CNT,,-27.2164,-61.2103,small_airport,no,OurAirports
35404,General Villegas Airport,General Villegas,Argentina,VGS,,-34.995728,-62.999725,small_airport,no,OurAirports
35405,Los Menucos Airport,Los Menucos,Argentina,LMD,,-40.817699,-68.074699,small_airport,no,OurAirports
35412,Valcheta Airport,Valcheta,Argentina,VCF,,-40.700001,-66.150002,small_airport,no,OurAirports
42812,Carmen de Patagones Airport,Carmen de Patagones,Argentina,CPG,,-40.7781,-62.9803,small_airport,no,OurAirports
301707,Aragip Airport,,Papua New Guinea,ARP,,-9.88333333333,149.483333333,small_airport,no,OurAirports
301732,Asirim Airport,,Papua New Guinea,ASZ,,-6.009722222220001,150.368611111,small_airport,no,OurAirports
601314,[Duplicate] Wolf's Fang Runway,Queen Maud Island,Antarctica,WFR,,-71.5264,8.799459,medium_airport,no,OurAirports
313838,Lady Elliot Island Airstrip,Lady Elliot Island,Australia,LYT,YLTT,-24.1129,152.7156,small_airport,no,OurAirports
354527,Gruyere Airport,Cosmo Newbery,Australia,GYZ,YGRM,-28.034548,123.81506,small_airport,yes,OurAirports
507237,Western Sydney International (Nancy-Bird Walton) Airport,Sydney,Australia,WSI,YSWS,-33.883461,150.712981,large_airport,no,OurAirports
30622,Agnew Airport,Agnew,Australia,AGW,,-12.1456,142.149369,small_airport,no,OurAirports
